time,G(i) (Globalstrahlung),H_sun (Sonnenscheindauer in min),T2m (Temperatur),WS10m (Windgeschwindigkeit)
20220122:1510,17.4,6.02,5.61,3.03
20220122:1610,0.0,0.0,5.39,2.83
20220122:1710,0.0,0.0,5.26,2.83
20220122:1810,0.0,0.0,5.11,2.9
20220122:1910,0.0,0.0,4.31,2.76
20220122:2010,0.0,0.0,4.11,2.76
20220122:2110,0.0,0.0,3.95,2.69
20220122:2210,0.0,0.0,3.75,2.69
20220122:2310,0.0,0.0,3.4,2.55
20220123:0010,0.0,0.0,3.36,2.34
20220123:0110,0.0,0.0,3.11,2.21
20220123:0210,0.0,0.0,3.12,2.07
20220123:0310,0.0,0.0,3.01,1.93
20220123:0410,0.0,0.0,2.96,1.59
20220123:0510,0.0,0.0,2.76,1.45
20220123:0610,0.0,0.0,2.63,1.38
20220123:0710,0.0,0.0,3.28,1.1
20220123:0810,47.76,5.58,3.27,0.62
20220123:0910,50.37,12.02,3.83,0.34
20220123:1010,53.11,16.71,4.29,0.34
20220123:1110,62.27,19.24,4.89,0.28
20220123:1210,54.03,19.35,5.19,0.34
20220123:1310,56.78,17.04,5.5,0.9
20220123:1410,47.62,12.55,5.47,1.17
20220123:1510,41.6,6.25,5.28,0.97
20220123:1610,0.0,0.0,5.02,0.83
20220123:1710,0.0,0.0,4.56,1.1
20220123:1810,0.0,0.0,4.02,1.31
20220123:1910,0.0,0.0,3.01,1.59
20220123:2010,0.0,0.0,2.79,1.52
20220123:2110,0.0,0.0,1.97,1.72
20220123:2210,0.0,0.0,1.34,1.93
20220123:2310,0.0,0.0,1.25,1.93
20220124:0010,0.0,0.0,1.41,1.86
20220124:0110,0.0,0.0,1.26,1.86
20220124:0210,0.0,0.0,0.77,2.0
20220124:0310,0.0,0.0,0.16,2.0
20220124:0410,0.0,0.0,-0.55,1.93
20220124:0510,0.0,0.0,-1.11,1.79
20220124:0610,0.0,0.0,-1.6,1.79
20220124:0710,0.0,0.0,-1.39,2.0
20220124:0810,226.97,5.75,-1.04,1.93
20220124:0910,322.28,12.22,0.98,1.59
20220124:1010,114.49,16.92,3.78,2.0
20220124:1110,77.84,19.47,5.0,2.41
20220124:1210,57.69,19.6,5.96,2.55
20220124:1310,63.19,17.29,6.54,2.48
20220124:1410,42.12,12.79,6.64,2.34
20220124:1510,61.44,6.49,6.23,1.79
20220124:1610,0.0,0.0,4.89,2.14
20220124:1710,0.0,0.0,3.43,2.28
20220124:1810,0.0,0.0,2.49,2.21
20220124:1910,0.0,0.0,1.8,2.0
20220124:2010,0.0,0.0,1.12,1.93
20220124:2110,0.0,0.0,0.55,2.0
20220124:2210,0.0,0.0,0.14,2.07
20220124:2310,0.0,0.0,-0.29,2.0
20220125:0010,0.0,0.0,-0.71,1.79
20220125:0110,0.0,0.0,-1.3,1.66
20220125:0210,0.0,0.0,-1.63,1.45
20220125:0310,0.0,0.0,-1.69,1.31
20220125:0410,0.0,0.0,-2.13,1.31
20220125:0510,0.0,0.0,-2.18,1.24
20220125:0610,0.0,0.0,-2.12,1.17
20220125:0710,0.0,0.0,-0.61,1.31
20220125:0810,54.86,5.93,-0.02,1.24
20220125:0910,46.7,12.41,0.46,1.03
20220125:1010,49.45,17.14,1.01,0.83
20220125:1110,58.61,19.71,1.9,0.69
20220125:1210,43.04,19.84,2.38,0.62
